Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,66.5,66.56999969482422,65.30000305175781,65.69000244140625,63.0612907409668,2113300.0
2019-01-03,65.52999877929688,65.77999877929688,62.0,63.27000045776367,60.738128662109375,5383900.0
2019-01-04,64.08999633789062,65.94999694824219,64.08999633789062,65.45999908447266,62.84050369262695,3123700.0
2019-01-07,65.63999938964844,67.43000030517578,65.61000061035156,66.8499984741211,64.17485046386719,3235100.0
2019-01-08,67.58999633789062,68.20999908447266,66.69999694824219,67.83000183105469,65.11564636230469,1578100.0
2019-01-09,68.19999694824219,69.66000366210938,68.0,69.25,66.47886657714844,2442300.0
2019-01-10,69.05000305175781,69.94999694824219,68.5999984741211,69.9000015258789,67.10282897949219,1080900.0
2019-01-11,69.29000091552734,70.41000366210938,68.94000244140625,70.37999725341797,67.56360626220703,1210800.0
2019-01-14,69.72000122070312,70.29000091552734,69.66999816894531,69.75,66.95882415771484,2182700.0
2019-01-15,69.94999694824219,70.75,69.62000274658203,70.5999984741211,67.77481842041016,1793100.0
2019-01-16,70.81999969482422,71.12999725341797,69.97000122070312,70.02999877929688,67.22761535644531,1480300.0
2019-01-17,69.76000213623047,71.23999786376953,69.76000213623047,70.81999969482422,67.98600769042969,1225800.0
2019-01-18,71.29000091552734,72.30999755859375,70.8499984741211,71.93000030517578,69.05158996582031,1551700.0
2019-01-22,71.44000244140625,71.4800033569336,70.47000122070312,71.31999969482422,68.46600341796875,1972700.0
2019-01-23,71.94999694824219,72.8499984741211,70.73999786376953,71.6500015258789,68.78278350830078,2050300.0
2019-01-24,71.45999908447266,72.19999694824219,71.38999938964844,72.18000030517578,69.29156494140625,1509600.0
2019-01-25,72.79000091552734,73.7300033569336,72.55999755859375,73.6500015258789,70.7027587890625,2215300.0
2019-01-28,72.76000213623047,73.27999877929688,72.41000366210938,73.2699966430664,70.33795928955078,1729600.0
2019-01-29,73.69999694824219,74.05999755859375,73.19999694824219,73.55999755859375,70.6163558959961,1684500.0
2019-01-30,73.73999786376953,75.58999633789062,73.4800033569336,75.44000244140625,72.421142578125,1679500.0
2019-01-31,75.20999908447266,76.30999755859375,74.66999816894531,76.05000305175781,73.00674438476562,2951300.0
2019-02-01,76.16000366210938,76.58999633789062,75.62000274658203,76.04000091552734,72.99712371826172,1343900.0
2019-02-04,76.18000030517578,76.2300033569336,75.31999969482422,76.02999877929688,72.98751831054688,2245900.0
2019-02-05,75.80000305175781,76.51000213623047,75.79000091552734,76.30999755859375,73.25630187988281,1593500.0
2019-02-06,76.11000061035156,76.69000244140625,76.0,76.30000305175781,73.24671936035156,1504900.0
2019-02-07,75.72000122070312,76.12000274658203,74.87000274658203,75.33000183105469,72.3155517578125,1660600.0
2019-02-08,75.06999969482422,75.80999755859375,74.76000213623047,75.80000305175781,72.76670837402344,1318100.0
2019-02-11,76.0,76.38999938964844,75.75,76.08000183105469,73.03550720214844,1018000.0
2019-02-12,76.80000305175781,77.25,76.43000030517578,77.06999969482422,73.98592376708984,2045500.0
2019-02-13,77.37000274658203,77.48999786376953,76.73999786376953,77.25,74.15869140625,1376400.0
